,abs_lambda,avg_x,avg_y,cond_var,l_est_x,l_est_y,nl_est_x,nl_est_y,pen_val,sep_dist,sub,tot_var
22,1.29009337443,13.7169811321,1.79245283019,98.0249702735,15.0,-2.0,15.0,-1.0,3,32,405,91.9782321019
23,1.29009337443,14.0,-2.70833333333,69.6200378072,20.0,1.0,19.0,5.0,5,32,405,91.9782321019
24,1.29009337443,13.2291666667,-2.0625,73.0928819444,19.0,-3.0,19.0,4.0,15,32,405,91.9782321019
25,1.29009337443,4.01960784314,-3.66666666667,78.8832,0.0,2.0,0.0,-3.0,0,44,405,91.9782321019
26,1.29009337443,6.0612244898,-2.02040816327,84.1493055556,10.0,0.0,7.0,2.0,1,44,405,91.9782321019
27,1.29009337443,8.67346938776,0.0204081632653,69.7641723356,9.0,2.0,9.0,-2.0,3,44,405,91.9782321019
28,1.29009337443,10.612244898,-2.73469387755,76.7707100592,13.0,-1.0,11.0,-2.0,5,44,405,91.9782321019
29,1.29009337443,10.36,-1.3,85.6447187929,13.0,-2.0,12.0,3.0,15,44,405,91.9782321019
30,1.26746182827,8.97872340426,-2.1914893617,139.873345936,1.0,2.0,1.0,-1.0,0,32,406,229.661529904
31,1.26746182827,14.7021276596,-0.595744680851,134.085066163,16.0,-1.0,13.0,1.0,1,32,406,229.661529904
32,1.26746182827,17.2745098039,-3.98039215686,101.769770408,14.0,-2.0,13.0,0.0,3,32,406,229.661529904
33,1.26746182827,16.2391304348,-2.47826086957,142.765495868,27.0,-2.0,25.0,-2.0,5,32,406,229.661529904
34,1.26746182827,13.4905660377,-3.66037735849,130.991676576,28.0,1.0,23.0,0.0,15,32,406,229.661529904
35,1.26746182827,7.59183673469,-1.0612244898,127.335743802,0.0,0.0,-1.0,-1.0,0,44,406,229.661529904
36,1.26746182827,10.0,-0.98,148.784023669,9.0,-2.0,7.0,0.0,1,44,406,229.661529904
37,1.26746182827,6.34615384615,-0.538461538462,115.6,9.0,1.0,9.0,2.0,3,44,406,229.661529904
38,1.26746182827,10.4782608696,-3.0,186.230623819,19.0,-2.0,16.0,2.0,5,44,406,229.661529904
39,1.26746182827,11.0784313725,-0.450980392157,122.9739369,16.0,-3.0,16.0,-3.0,15,44,406,229.661529904
40,3.01446901077,14.5660377358,1.52830188679,26.9972565158,-0.165631469979,-0.0745341614907,-0.127348643006,0.179540709812,0,32,411,24.4553795332
41,3.01446901077,14.7454545455,1.87272727273,32.4581618656,15.0,-4.0,16.0,5.0,1,32,411,24.4553795332
42,3.01446901077,13.5892857143,0.375,33.8573388203,16.0,2.0,16.0,0.0,3,32,411,24.4553795332
43,3.01446901077,14.2592592593,1.62962962963,56.7328,16.0,-4.0,16.0,5.0,5,32,411,24.4553795332
44,3.01446901077,13.6909090909,1.70909090909,46.6448,16.0,5.0,16.0,3.0,15,32,411,24.4553795332
45,3.01446901077,9.59259259259,1.87037037037,50.5104,0.064182194617,-0.0869565217391,-0.196721311475,0.18237704918,0,44,411,24.4553795332
46,3.01446901077,8.73684210526,0.245614035088,33.9274673008,8.82352941176,-0.754901960784,8.67045454545,0.0113636363636,1,44,411,24.4553795332
47,3.01446901077,9.33333333333,2.22807017544,37.1530612245,8.6043956044,0.197802197802,8.70873786408,0.436893203883,3,44,411,24.4553795332
48,3.01446901077,8.59649122807,0.631578947368,30.8545918367,8.97058823529,0.137254901961,8.73404255319,-0.468085106383,5,44,411,24.4553795332
49,3.01446901077,9.35087719298,0.438596491228,36.6694101509,8.57894736842,-0.254385964912,8.52040816327,0.418367346939,15,44,411,24.4553795332
50,2.41751674568,14.5272727273,3.29090909091,74.2482853224,1.0,-1.0,0.0,2.0,0,32,412,78.2977370274
51,2.41751674568,14.0677966102,1.38983050847,81.2330558859,17.0,-2.0,15.0,2.0,1,32,412,78.2977370274
52,2.41751674568,14.4237288136,1.35593220339,73.4042806183,18.0,2.0,14.0,-1.0,3,32,412,78.2977370274
53,2.41751674568,16.1090909091,-1.36363636364,52.6063100137,21.0,1.0,19.0,-1.0,5,32,412,78.2977370274
54,2.41751674568,16.8392857143,1.91071428571,66.6027777778,21.0,-1.0,19.0,0.0,15,32,412,78.2977370274
55,2.41751674568,8.64814814815,1.33333333333,161.336076818,0.0,1.0,0.0,0.0,0,44,412,78.2977370274
56,2.41751674568,12.0508474576,-0.576271186441,50.7645659929,10.0,1.0,9.0,-2.0,1,44,412,78.2977370274
57,2.41751674568,10.4727272727,-2.21818181818,53.693877551,10.0,-3.0,7.0,1.0,3,44,412,78.2977370274
58,2.41751674568,10.8070175439,-3.59649122807,58.9774078478,12.0,2.0,13.0,-1.0,5,44,412,78.2977370274
59,2.41751674568,12.1296296296,1.81481481481,58.3182441701,12.0,0.0,12.0,-2.0,15,44,412,78.2977370274
60,1.41715595538,15.9661016949,-0.983050847458,67.1138888889,0.0,-0.5,-1.5,0.5,0,32,501,57.1170367959
61,1.41715595538,14.8965517241,1.29310344828,79.5089179548,16.0,0.0,15.0,3.0,1,32,501,57.1170367959
62,1.41715595538,15.5344827586,-1.58620689655,68.5355555556,16.0,1.0,14.0,2.0,3,32,501,57.1170367959
63,1.41715595538,15.9830508475,-2.66101694915,83.8965517241,19.0,1.0,18.0,0.0,5,32,501,57.1170367959
64,1.41715595538,16.593220339,-0.338983050847,69.5505350773,19.0,-3.0,18.0,-1.0,15,32,501,57.1170367959
65,1.41715595538,11.4,-1.0,59.5888888889,0.222222222222,0.0,1.33333333333,0.333333333333,0,44,501,57.1170367959
66,1.41715595538,10.65,1.51666666667,86.5427777778,8.0,3.0,8.0,-1.0,1,44,501,57.1170367959
67,1.41715595538,9.89830508475,0.779661016949,77.0044444444,9.0,-3.0,9.0,0.0,3,44,501,57.1170367959
68,1.41715595538,10.4137931034,1.89655172414,75.6555555556,11.0,5.0,11.0,1.0,5,44,501,57.1170367959
69,1.41715595538,11.6666666667,1.33333333333,88.4222222222,11.0,-1.0,11.0,1.0,15,44,501,57.1170367959
70,7.81125058871,11.4310344828,-1.01724137931,62.1472222222,-2.0,-0.5,1.0,1.0,0,32,502,69.8496696566
71,7.81125058871,12.5,-1.08620689655,121.751486326,20.0,0.0,14.0,-1.0,1,32,502,69.8496696566
72,7.81125058871,12.3,-1.45,130.056111111,19.0,-1.0,15.0,0.0,3,32,502,69.8496696566
73,7.81125058871,12.4385964912,-3.85964912281,127.663495838,22.0,-1.0,18.0,-3.0,5,32,502,69.8496696566
74,7.81125058871,12.3620689655,-2.5,96.6052318668,22.0,-1.0,18.0,-2.0,15,32,502,69.8496696566
75,7.81125058871,6.91379310345,-0.137931034483,145.822829964,-1.0,1.0,2.0,1.0,0,44,502,69.8496696566
76,7.81125058871,5.82456140351,-1.45614035088,114.918367347,12.0,-3.0,9.0,3.0,1,44,502,69.8496696566
77,7.81125058871,7.68333333333,-0.85,143.887222222,12.0,-1.0,9.0,2.0,3,44,502,69.8496696566
78,7.81125058871,6.86206896552,-3.53448275862,91.6599286564,14.0,3.0,12.0,-3.0,5,44,502,69.8496696566
79,7.81125058871,9.13559322034,-2.57627118644,95.4577883472,14.0,1.0,11.0,0.0,15,44,502,69.8496696566
80,1.85281017002,8.05172413793,5.93103448276,141.284444444,0.0,-2.0,1.0,1.0,0,32,503,101.651210455
81,1.85281017002,11.7368421053,4.94736842105,87.2110969388,15.0,1.0,16.0,0.0,1,32,503,101.651210455
82,1.85281017002,14.0175438596,5.42105263158,75.3131377551,16.0,-1.0,15.0,-2.0,3,32,503,101.651210455
83,1.85281017002,16.5166666667,4.51666666667,81.9694444444,21.0,6.0,20.0,3.0,5,32,503,101.651210455
84,1.85281017002,10.3859649123,-2.61403508772,2465.66007653,21.0,1.0,19.0,0.0,15,32,503,101.651210455
85,1.85281017002,3.74576271186,3.81355932203,113.402777778,1.0,1.0,0.0,0.0,0,44,503,101.651210455
86,1.85281017002,8.41379310345,3.77586206897,103.551724138,9.0,0.0,7.0,1.0,1,44,503,101.651210455
87,1.85281017002,9.33898305085,4.67796610169,112.793103448,9.0,2.0,8.0,1.0,3,44,503,101.651210455
88,1.85281017002,8.36666666667,3.61666666667,105.782777778,13.0,1.0,12.0,-1.0,5,44,503,101.651210455
89,1.85281017002,9.45,3.58333333333,123.305555556,14.0,-1.0,11.0,2.0,15,44,503,101.651210455
90,1.03649046349,14.6140350877,-4.85964912281,49.7161111111,0.0157068062827,-0.198952879581,-0.113402061856,0.278350515464,0,32,504,36.6030273438
91,1.03649046349,13.9491525424,-5.37288135593,62.7472222222,16.0,-1.0,15.0,0.0,1,32,504,36.6030273438
92,1.03649046349,13.9482758621,-4.27586206897,53.6090561224,16.0,2.0,15.0,5.0,3,32,504,36.6030273438
93,1.03649046349,9.63793103448,-4.75862068966,865.713436385,17.0,-4.0,16.0,0.0,5,32,504,36.6030273438
94,1.03649046349,12.3728813559,-4.84745762712,45.953626635,18.0,2.0,17.0,1.0,15,32,504,36.6030273438
95,1.03649046349,7.14285714286,-3.89285714286,109.355529132,0.109947643979,0.0261780104712,-0.0471204188482,0.188481675393,0,44,504,36.6030273438
96,1.03649046349,8.24137931034,-4.96551724138,59.8525564804,10.0,-3.0,8.33333333333,-3.0,1,44,504,36.6030273438
97,1.03649046349,7.79310344828,-4.68965517241,55.644470868,9.0,-0.5,8.0,-4.0,3,44,504,36.6030273438
98,1.03649046349,7.41666666667,-3.66666666667,55.9844444444,10.0,2.0,9.0,-5.0,5,44,504,36.6030273438
99,1.03649046349,7.42372881356,-3.81355932203,41.8596908442,8.33333333333,-4.0,9.5,1.5,15,44,504,36.6030273438
100,3.56337440157,10.3928571429,-1.64285714286,220.619897959,0.0,0.0,0.0,0.0,0,32,505,77.6272748243
101,3.56337440157,11.1166666667,0.783333333333,62.4694444444,18.0,3.0,15.0,-1.0,1,32,505,77.6272748243
102,3.56337440157,11.0,-2.5,81.8525564804,17.0,0.0,15.0,-2.0,3,32,505,77.6272748243
103,3.56337440157,13.775862069,-3.56896551724,70.0452806122,22.0,2.0,18.0,-2.0,5,32,505,77.6272748243
104,3.56337440157,14.5254237288,-2.47457627119,97.9774078478,21.0,2.0,20.0,-1.0,15,32,505,77.6272748243
105,3.56337440157,2.96610169492,-1.67796610169,156.184444444,1.0,-2.0,1.5,-1.0,0,44,505,77.6272748243
106,3.56337440157,9.51724137931,-2.63793103448,94.0077777778,10.0,0.0,9.0,0.0,1,44,505,77.6272748243
107,3.56337440157,12.4333333333,-1.3,98.5444444444,11.0,-2.0,8.0,-2.0,3,44,505,77.6272748243
108,3.56337440157,10.6034482759,-2.13793103448,82.6422222222,14.0,-2.0,12.0,-1.0,5,44,505,77.6272748243
109,3.56337440157,7.55172413793,-1.18965517241,66.0237812128,14.0,-5.0,12.0,1.0,15,44,505,77.6272748243
110,2.02196277404,11.9464285714,3.44642857143,60.2866941015,1.0,1.0,1.5,0.5,0,32,506,73.902813096
111,2.02196277404,13.0714285714,1.89285714286,76.5790725327,16.0,-2.0,14.0,0.0,1,32,506,73.902813096
112,2.02196277404,14.4210526316,0.859649122807,65.6682520809,16.0,2.0,15.0,0.0,3,32,506,73.902813096
113,2.02196277404,14.2456140351,1.08771929825,60.7859690844,21.0,3.0,18.0,-1.0,5,32,506,73.902813096
114,2.02196277404,14.4576271186,-0.694915254237,94.5627777778,19.0,3.0,18.0,1.0,15,32,506,73.902813096
115,2.02196277404,6.875,-0.267857142857,78.4494649227,0.0,0.5,1.0,0.5,0,44,506,73.902813096
116,2.02196277404,8.03389830508,0.0,78.7888888889,11.0,2.0,7.0,-2.0,1,44,506,73.902813096
117,2.02196277404,7.46551724138,0.396551724138,108.728316327,10.0,-1.0,9.0,1.0,3,44,506,73.902813096
118,2.02196277404,9.61111111111,0.185185185185,61.4791914388,12.0,0.0,12.0,2.0,5,44,506,73.902813096
119,2.02196277404,10.275862069,2.34482758621,63.9072532699,13.0,1.0,11.0,-2.0,15,44,506,73.902813096
